"Código","Fecha","Iniciativa","Instrumento","Estado","Responsable","Inicio consulta","Fin consulta","Fundamento","Impacto","URL"
"AR-2026-01","2026-06-01","Modificación temporal del horario de atención durante eventos municipales","Proyecto de decreto","Finalizado","Secretaría General y Desarrollo Institucional","2026-06-01","2026-06-15","Régimen municipal, función administrativa, jornada laboral, continuidad del servicio y participación en proyectos regulatorios.","Ciudadanía usuaria de trámites y servicios, servidores públicos, comerciantes y visitantes.","https://www.sanpedro-valle.gov.co/tema/proyectos-de-normas-para-comentarios"
"AR-2026-02","2026-05-01","Convocatoria del Subsidio Municipal de Vivienda - Urbanización Guadalupe","Proyecto de resolución","Finalizado","Dependencia municipal competente en vivienda","2026-05-01","2026-05-27","Ley 1537 de 2012; régimen municipal de vivienda; procedimiento administrativo; transparencia y protección de datos.","Hogares interesados en vivienda VIS/VIP, población vulnerable y actores del proyecto.","https://www.sanpedro-valle.gov.co/tema/proyectos-de-normas-para-comentarios"
"AR-2026-03","2026-07-29","Conformación e instalación del Consejo Municipal de Juventud","Proyecto de decreto","En consulta","Secretaría de Gobierno y Convivencia Ciudadana","2026-07-29","2026-08-12","Leyes 1622 de 2013 y 1885 de 2018; normativa electoral aplicable.","Consejeros de juventud, organizaciones juveniles, jóvenes rurales, víctimas y comunidades étnicas.","https://www.sanpedro-valle.gov.co/tema/proyectos-de-normas-para-comentarios"
"AR-2026-04","2026-08-01","Revisión y actualización del Estatuto Tributario y de Rentas Municipal","Proyecto de acuerdo / compilación normativa","Planeado","Secretaría de Hacienda y Asesoría Jurídica","2026-08-01","2026-11-30","Constitución Política; Estatuto Tributario Nacional; legislación territorial; acuerdos municipales y jurisprudencia aplicable.","Contribuyentes, responsables, agentes de retención, comerciantes y Administración Tributaria Municipal.","https://www.sanpedro-valle.gov.co/tema/normatividad/estatuto-tributario-657479"
"AR-2026-05","2026-10-01","Preparación y publicación del proyecto de presupuesto municipal 2027","Proyecto de acuerdo","Planeado","Secretaría de Hacienda","2026-10-01","2026-11-30","Estatuto Orgánico del Presupuesto; Ley 819 de 2003; normas territoriales; marco fiscal y régimen municipal.","Toda la población municipal y los sectores financiados mediante el presupuesto de 2027.","https://www.sanpedro-valle.gov.co/tema/proyectos-de-normas-para-comentarios"
