"Fecha","Año","Tipo","Número","Título","Estado","Responsable","URL documento","URL fuente"
"2025-11-20","2025","Acuerdo municipal","Acuerdo N.° 007 de 2025","Presupuesto General del Municipio para la vigencia 2026","Vigente","Concejo Municipal y Alcaldía Municipal","https://www.sanpedro-valle.gov.co/normatividad/acuerdo-municipal-n-007-noviembre-20-del-2025","https://www.sanpedro-valle.gov.co/tema/normatividad"
"2023-11-30","2023","Acuerdo municipal","009 de 2023","Acuerdo Municipal N.° 009 del 30 de noviembre de 2023","Consultar vigencia","Concejo Municipal y Alcaldía Municipal","https://www.sanpedro-valle.gov.co/informacion-tributaria/acuerdo-municipal-n-009--noviembre-30-de-2023","https://www.sanpedro-valle.gov.co/tema/normatividad/estatuto-tributario-657479"
"2021-12-01","2021","Acuerdo municipal","013 de 2021","Acuerdo Municipal N.° 013 de 2021","Consultar vigencia","Concejo Municipal y Alcaldía Municipal","https://www.sanpedro-valle.gov.co/informacion-tributaria/acuerdo-municipal-no-013--2021-866199","https://www.sanpedro-valle.gov.co/tema/normatividad/estatuto-tributario-657479"
"","2026","Compilación / índice tributario","Publicación institucional","Estatuto Tributario Municipal y antecedentes normativos","Consulta permanente","Secretaría de Hacienda","https://www.sanpedro-valle.gov.co/tema/normatividad/estatuto-tributario-657479","https://www.sanpedro-valle.gov.co/notificaciones-hacienda/ruta-tributaria"
"","2026","Notificación administrativa tributaria","Publicación oficial","Notificación en prensa, Gaceta Oficial y portal web - mandamientos de pago por impuesto predial","Publicada","Secretaría de Hacienda","https://www.sanpedro-valle.gov.co/noticias/otificacion-en-prensa-gaceta-oficial-portal-web-mandamientos","https://www.sanpedro-valle.gov.co/notificaciones-hacienda/ruta-tributaria"
"2026-07-31","2026","Repositorio institucional permanente","Gaceta / Normatividad","Índice general de normatividad municipal","Vigente","Secretaría General y dependencias productoras de documentos","https://www.sanpedro-valle.gov.co/tema/normatividad","https://www.sanpedro-valle.gov.co/informacion-adicional/sistema-unico-de-informacion-normativa-suinjuriscol"
